probe_step,n_halted,n_active,n_expunged,loss,grad_norm_total,grad_norm_muon,grad_norm_adam,mean_age,std_age,min_age,max_age
118,120,176,0,0.722656,0.293739,0.262712,0.131398,0.62,1.88,0,15
119,113,176,0,0.722656,0.236108,0.211011,0.105931,0.59,1.66,0,14
120,121,176,0,0.722656,0.338469,0.295487,0.165072,0.61,1.83,0,15
121,122,176,0,0.722656,0.314902,0.286437,0.130832,0.56,1.61,0,15
122,117,176,0,0.722656,0.329240,0.299415,0.136928,0.51,1.26,0,11
123,120,176,0,0.722656,0.588102,0.536694,0.240465,0.49,1.37,0,12
124,129,176,0,0.722656,0.243123,0.211630,0.119673,0.48,1.52,0,13
125,126,176,0,0.722656,0.308980,0.278265,0.134301,0.53,1.66,0,14
126,114,176,0,0.722656,0.557355,0.503766,0.238462,0.62,1.79,0,15
127,124,176,0,0.722656,0.268741,0.234778,0.130770,0.49,1.53,0,15
128,116,176,0,0.722656,0.260829,0.234463,0.114274,0.50,1.20,0,10
129,123,176,0,0.722656,0.549133,0.483133,0.261017,0.49,1.32,0,11
130,120,176,0,0.722656,0.308559,0.279205,0.131352,0.50,1.41,0,12
131,127,176,0,0.722656,0.317881,0.284273,0.142257,0.50,1.55,0,13
132,117,176,0,0.722656,0.510529,0.464084,0.212759,0.60,1.68,0,14
133,126,176,0,0.722656,0.322856,0.292658,0.136336,0.55,1.81,0,15
134,121,176,0,0.722656,0.203450,0.176785,0.100692,0.41,0.98,0,10
135,115,176,0,0.722656,0.451393,0.395893,0.216853,0.49,1.11,0,11
136,126,176,0,0.722656,0.273154,0.247513,0.115545,0.41,1.18,0,12
137,125,176,0,0.718750,0.569691,0.509323,0.255223,0.43,1.27,0,13
138,115,176,0,0.722656,0.352098,0.309278,0.168285,0.51,1.38,0,14
139,123,176,0,0.722656,0.520872,0.467672,0.229327,0.49,1.48,0,15
140,121,176,0,0.722656,0.316978,0.284650,0.139460,0.41,1.03,0,12
141,116,176,0,0.722656,0.362644,0.325152,0.160583,0.48,1.14,0,13
142,127,176,0,0.722656,0.331479,0.293646,0.153787,0.42,1.21,0,14
143,118,176,0,0.722656,0.309730,0.280007,0.132396,0.47,1.28,0,15
144,118,176,0,0.722656,0.303463,0.274918,0.128492,0.41,0.74,0,5
145,128,176,0,0.722656,0.293894,0.268213,0.120148,0.38,0.83,0,6
146,129,176,0,0.722656,0.364414,0.326995,0.160846,0.38,0.90,0,7
147,119,176,0,0.722656,0.594695,0.518951,0.290434,0.44,1.00,0,8
148,115,176,0,0.722656,0.345057,0.309149,0.153269,0.49,1.12,0,9
149,131,176,0,0.722656,0.325619,0.283149,0.160794,0.43,1.25,0,10
150,127,176,0,0.722656,0.305122,0.270710,0.140769,0.48,1.39,0,11
151,120,176,0,0.722656,0.467548,0.420205,0.205008,0.52,1.49,0,12
152,124,176,0,0.722656,0.227416,0.202639,0.103224,0.53,1.63,0,13
153,127,176,0,0.722656,0.336378,0.303047,0.145989,0.55,1.78,0,14
154,116,176,0,0.722656,0.413598,0.366546,0.191594,0.64,1.92,0,15
155,124,176,0,0.722656,0.600982,0.522519,0.296905,0.44,1.25,0,12
156,122,176,0,0.722656,0.246278,0.215383,0.119427,0.49,1.38,0,13
157,124,176,0,0.722656,0.285667,0.257895,0.122866,0.49,1.49,0,14
