probe_step,n_halted,n_active,n_expunged,loss,grad_norm_total,grad_norm_muon,grad_norm_adam,mean_age,std_age,min_age,max_age
186,110,128,0,0.718750,0.133004,0.099585,0.088163,0.16,0.41,0,2
187,105,128,0,0.718750,0.106784,0.064375,0.085198,0.18,0.39,0,1
188,113,128,0,0.718750,0.138672,0.106921,0.088305,0.12,0.35,0,2
189,119,128,0,0.718750,0.649471,0.617879,0.200097,0.09,0.33,0,2
190,110,128,0,0.718750,0.122889,0.087962,0.085817,0.17,0.47,0,3
191,108,128,0,0.718750,0.175924,0.150836,0.090541,0.19,0.51,0,4
192,118,128,0,0.718750,0.202114,0.178760,0.094312,0.08,0.27,0,1
193,116,128,0,0.718750,0.624021,0.592985,0.194345,0.10,0.33,0,2
194,112,128,0,0.718750,0.218795,0.195453,0.098333,0.14,0.39,0,2
195,108,128,0,0.718750,0.127675,0.091757,0.088778,0.17,0.42,0,2
196,126,128,0,0.718750,0.136023,0.102601,0.089304,0.03,0.25,0,2
197,106,128,0,0.718750,0.219386,0.197635,0.095239,0.17,0.38,0,1
198,116,128,0,0.718750,0.147036,0.116303,0.089962,0.09,0.29,0,1
199,117,128,0,0.718750,0.626547,0.595704,0.194157,0.09,0.32,0,2
200,115,128,0,0.718750,0.130400,0.097219,0.086905,0.10,0.30,0,1
201,116,128,0,0.718750,0.137595,0.106202,0.087484,0.10,0.33,0,2
202,111,128,0,0.718750,0.130584,0.097822,0.086504,0.14,0.37,0,2
203,108,128,0,0.718750,0.221398,0.195438,0.104023,0.16,0.36,0,1
204,119,128,0,0.718750,0.169086,0.141690,0.092271,0.08,0.30,0,2
205,117,128,0,0.718750,0.258098,0.236739,0.102805,0.09,0.32,0,2
206,117,128,0,0.718750,0.162080,0.131878,0.094224,0.09,0.28,0,1
207,111,128,0,0.718750,0.218809,0.195645,0.097982,0.14,0.37,0,2
208,115,128,0,0.718750,0.167320,0.140404,0.091008,0.12,0.40,0,2
209,119,128,0,0.718750,0.169901,0.143210,0.091419,0.07,0.26,0,1
210,110,128,0,0.718750,0.224168,0.202308,0.096555,0.16,0.41,0,2
211,115,128,0,0.722656,0.157558,0.124478,0.096590,0.11,0.34,0,2
212,114,128,0,0.718750,0.623227,0.592065,0.194606,0.12,0.35,0,2
213,113,128,0,0.718750,0.174856,0.149021,0.091472,0.12,0.32,0,1
214,117,128,0,0.718750,0.135990,0.103669,0.088012,0.09,0.28,0,1
215,115,128,0,0.718750,0.241821,0.218892,0.102779,0.11,0.34,0,2
216,114,128,0,0.718750,0.223964,0.199514,0.101754,0.12,0.35,0,2
217,115,128,0,0.718750,0.135693,0.101949,0.089548,0.12,0.39,0,3
218,117,128,0,0.718750,0.200524,0.175917,0.096245,0.09,0.32,0,2
219,114,128,0,0.718750,0.173707,0.147423,0.091873,0.12,0.38,0,2
220,115,128,0,0.718750,0.621396,0.590336,0.194001,0.10,0.30,0,1
221,116,128,0,0.718750,0.127419,0.092478,0.087655,0.09,0.29,0,1
222,120,128,0,0.718750,0.220280,0.195768,0.100987,0.07,0.29,0,2
223,115,128,0,0.718750,0.123633,0.089029,0.085784,0.10,0.30,0,1
224,116,128,0,0.718750,0.243551,0.219960,0.104568,0.12,0.39,0,2
225,112,128,0,0.718750,0.224362,0.201528,0.098616,0.14,0.39,0,2
226,113,128,0,0.718750,0.121226,0.084506,0.086917,0.12,0.35,0,2
227,113,128,0,0.718750,0.185935,0.159734,0.095167,0.12,0.35,0,2
